Index,Name
168,MUSE_right_pcu_precuneus
169,MUSE_left_pcu_precuneus
170,MUSE_right_phg_parahippocampal_gyrus
171,MUSE_left_phg_parahippocampal_gyrus
172,MUSE_right_pins_posterior_insula
173,MUSE_left_pins_posterior_insula
174,MUSE_right_po_parietal_operculum
175,MUSE_left_po_parietal_operculum
176,MUSE_right_pog_postcentral_gyrus
177,MUSE_left_pog_postcentral_gyrus
178,MUSE_right_porg_posterior_orbital_gyrus
179,MUSE_left_porg_posterior_orbital_gyrus
180,MUSE_right_pp_planum_polare
181,MUSE_left_pp_planum_polare
182,MUSE_right_prg_precentral_gyrus
183,MUSE_left_prg_precentral_gyrus
184,MUSE_right_pt_planum_temporale
185,MUSE_left_pt_planum_temporale
186,MUSE_right_sca_subcallosal_area
187,MUSE_left_sca_subcallosal_area
190,MUSE_right_sfg_superior_frontal_gyrus
191,MUSE_left_sfg_superior_frontal_gyrus
192,MUSE_right_smc_supplementary_motor_cortex
193,MUSE_left_smc_supplementary_motor_cortex
194,MUSE_right_smg_supramarginal_gyrus
195,MUSE_left_smg_supramarginal_gyrus
196,MUSE_right_sog_superior_occipital_gyrus
197,MUSE_left_sog_superior_occipital_gyrus
198,MUSE_right_spl_superior_parietal_Lobule
199,MUSE_left_spl_superior_parietal_Lobule
200,MUSE_right_stg_superior_temporal_gyrus
201,MUSE_left_stg_superior_temporal_gyrus
202,MUSE_right_tmp_temporal_pole
203,MUSE_left_tmp_temporal_pole
204,MUSE_right_trifg_triangular_part_of_the_inferior_frontal_gyrus
205,MUSE_left_trifg_triangular_part_of_the_inferior_frontal_gyrus
206,MUSE_right_ttg_transverse_temporal_gyrus
207,MUSE_left_ttg_transverse_temporal_gyrus
